INPUT_TABLE,,,
OD,resid rural,2030,0.521024529
PB,resid rural,2030,0.441295567
PC,resid rural,2030,0.092387318
RJ,resid rural,2030,0.540901345
SK,resid rural,2030,0.578681258
TN,resid rural,2030,0.330712307
TR,resid rural,2030,0.347003616
TS,resid rural,2030,0.332450846
UK,resid rural,2030,0.309225435
UP,resid rural,2030,0.508581568
WB,resid rural,2030,0.339315843
AN,resid rural,2035,0.325996669
AP,resid rural,2035,0.413218376
AR,resid rural,2035,0.493991145
AS,resid rural,2035,0.608432149
BR,resid rural,2035,0.639809735
CG,resid rural,2035,0.418364687
CH,resid rural,2035,0.009066848
DD,resid rural,2035,0.052484922
DL,resid rural,2035,0.007824704
DN,resid rural,2035,0.135063713
GA,resid rural,2035,0.141012437
GJ,resid rural,2035,0.298935053
HP,resid rural,2035,0.620089679
HR,resid rural,2035,0.277580179
JH,resid rural,2035,0.408733203
JK,resid rural,2035,0.386685386
KA,resid rural,2035,0.295695912
KL,resid rural,2035,0.270349823
LA,resid rural,2035,0.399681507
LD,resid rural,2035,0.138282361
MH,resid rural,2035,0.232701215
ML,resid rural,2035,0.537958921
MN,resid rural,2035,0.328272415
MP,resid rural,2035,0.336738242
MZ,resid rural,2035,0.283234154
NL,resid rural,2035,0.350733687
OD,resid rural,2035,0.49474736
PB,resid rural,2035,0.41623953
PC,resid rural,2035,0.083248129
RJ,resid rural,2035,0.525289783
SK,resid rural,2035,0.57266229
TN,resid rural,2035,0.306987404
TR,resid rural,2035,0.313504401
TS,resid rural,2035,0.314877916
UK,resid rural,2035,0.288650522
UP,resid rural,2035,0.486103323
WB,resid rural,2035,0.314837858
AN,resid rural,2040,0.317790897
AP,resid rural,2040,0.3839448
AR,resid rural,2040,0.474441201
AS,resid rural,2040,0.583605435
BR,resid rural,2040,0.607106166
CG,resid rural,2040,0.405072226
CH,resid rural,2040,0.009048051
DD,resid rural,2040,0.047298865
DL,resid rural,2040,0.006881611
DN,resid rural,2040,0.117513266
GA,resid rural,2040,0.116656389
GJ,resid rural,2040,0.278820866
HP,resid rural,2040,0.584753226
HR,resid rural,2040,0.260614407
JH,resid rural,2040,0.378647353
JK,resid rural,2040,0.369469642
KA,resid rural,2040,0.273614267
KL,resid rural,2040,0.216900068
LA,resid rural,2040,0.386853791
LD,resid rural,2040,0.132281188
MH,resid rural,2040,0.208299407
ML,resid rural,2040,0.526415296
MN,resid rural,2040,0.297001494
MP,resid rural,2040,0.328455345
MZ,resid rural,2040,0.252548478
NL,resid rural,2040,0.328640272
OD,resid rural,2040,0.470207886
PB,resid rural,2040,0.391586968
PC,resid rural,2040,0.074145614
RJ,resid rural,2040,0.510184243
SK,resid rural,2040,0.566711071
TN,resid rural,2040,0.283571202
TR,resid rural,2040,0.28242816
TS,resid rural,2040,0.29785213
UK,resid rural,2040,0.269352661
UP,resid rural,2040,0.464572657
WB,resid rural,2040,0.291615612
AN,resid rural,2045,0.309890612
AP,resid rural,2045,0.355613634
AR,resid rural,2045,0.455566275
AS,resid rural,2045,0.559727597
BR,resid rural,2045,0.575776241
CG,resid rural,2045,0.392584871
CH,resid rural,2045,0.009028668
DD,resid rural,2045,0.041992621
DL,resid rural,2045,0.005939274
DN,resid rural,2045,0.100616749
GA,resid rural,2045,0.092447115
GJ,resid rural,2045,0.259104147
HP,resid rural,2045,0.551341953
HR,resid rural,2045,0.244411525
JH,resid rural,2045,0.350085531
JK,resid rural,2045,0.353060002
KA,resid rural,2045,0.25234118
KL,resid rural,2045,0.163450313
LA,resid rural,2045,0.374306425
LD,resid rural,2045,0.126235502
MH,resid rural,2045,0.184859343
ML,resid rural,2045,0.515351965
MN,resid rural,2045,0.267351857
MP,resid rural,2045,0.32082181
MZ,resid rural,2045,0.222146945
NL,resid rural,2045,0.307602815
OD,resid rural,2045,0.447200631
PB,resid rural,2045,0.367293199
PC,resid rural,2045,0.065047313
RJ,resid rural,2045,0.495546459
SK,resid rural,2045,0.560826048
TN,resid rural,2045,0.26042737
TR,resid rural,2045,0.253396097
TS,resid rural,2045,0.281331413
UK,resid rural,2045,0.251142367
UP,resid rural,2045,0.443909954
WB,resid rural,2045,0.269494992
AN,resid rural,2050,0.302273193
AP,resid rural,2050,0.328096232
AR,resid rural,2050,0.437318532
AS,resid rural,2050,0.536732567
BR,resid rural,2050,0.545727279
CG,resid rural,2050,0.38083057
CH,resid rural,2050,0.009008661
DD,resid rural,2050,0.036537471
DL,resid rural,2050,0.004997688
DN,resid rural,2050,0.084201911
GA,resid rural,2050,0.068301226
GJ,resid rural,2050,0.239687578
HP,resid rural,2050,0.519670051
HR,resid rural,2050,0.228865377
JH,resid rural,2050,0.322893159
JK,resid rural,2050,0.337371218
KA,resid rural,2050,0.231810957
KL,resid rural,2050,0.110000558
LA,resid rural,2050,0.362025101
LD,resid rural,2050,0.120141684
MH,resid rural,2050,0.162312768
ML,resid rural,2050,0.504739336
MN,resid rural,2050,0.23915521
MP,resid rural,2050,0.313795952
MZ,resid rural,2050,0.192008242
NL,resid rural,2050,0.287496462
OD,resid rural,2050,0.425547561
PB,resid rural,2050,0.343315242
PC,resid rural,2050,0.055920188
RJ,resid rural,2050,0.48134069
SK,resid rural,2050,0.55500571
TN,resid rural,2050,0.237520773
TR,resid rural,2050,0.226089837
TS,resid rural,2050,0.265276894
UK,resid rural,2050,0.233854384
UP,resid rural,2050,0.424043043
WB,resid rural,2050,0.248339973
AN,resid rural,2055,0.290619577
AP,resid rural,2055,0.31155955
AR,resid rural,2055,0.416145365
AS,resid rural,2055,0.514001051
BR,resid rural,2055,0.520922034
CG,resid rural,2055,0.364858906
CH,resid rural,2055,0.008772122
DD,resid rural,2055,0.035146717
DL,resid rural,2055,0.004849907
DN,resid rural,2055,0.082481523
GA,resid rural,2055,0.065750875
GJ,resid rural,2055,0.229375229
HP,resid rural,2055,0.496982864
HR,resid rural,2055,0.217203385
JH,resid rural,2055,0.303084144
JK,resid rural,2055,0.323210146
KA,resid rural,2055,0.21973123
KL,resid rural,2055,0.102029543
LA,resid rural,2055,0.343617248
LD,resid rural,2055,0.118964938
MH,resid rural,2055,0.155267569
ML,resid rural,2055,0.484199561
MN,resid rural,2055,0.224865127
MP,resid rural,2055,0.303688027
MZ,resid rural,2055,0.184485905
NL,resid rural,2055,0.270894764
OD,resid rural,2055,0.408293328
PB,resid rural,2055,0.327258915
PC,resid rural,2055,0.054199482
RJ,resid rural,2055,0.465078009
SK,resid rural,2055,0.531531075
TN,resid rural,2055,0.224469558
TR,resid rural,2055,0.213900838
TS,resid rural,2055,0.24929602
UK,resid rural,2055,0.222902025
UP,resid rural,2055,0.4032343
WB,resid rural,2055,0.234678726
AN,resid rural,2060,0.278703357
AP,resid rural,2060,0.294463382
AR,resid rural,2060,0.394421208
AS,resid rural,2060,0.490472985
BR,resid rural,2060,0.495184474
CG,resid rural,2060,0.348501027
CH,resid rural,2060,0.008524683
DD,resid rural,2060,0.033667225
DL,resid rural,2060,0.004701961
DN,resid rural,2060,0.080685857
GA,resid rural,2060,0.063123637
GJ,resid rural,2060,0.218655344
HP,resid rural,2060,0.473525859
HR,resid rural,2060,0.20522669
JH,resid rural,2060,0.282878627
JK,resid rural,2060,0.308728165
KA,resid rural,2060,0.207499986
KL,resid rural,2060,0.093987139
LA,resid rural,2060,0.324868921
LD,resid rural,2060,0.117770059
MH,resid rural,2060,0.148180062
ML,resid rural,2060,0.46300185
MN,resid rural,2060,0.210369614
MP,resid rural,2060,0.293407968
MZ,resid rural,2060,0.176870139
NL,resid rural,2060,0.253909539
OD,resid rural,2060,0.390598815
PB,resid rural,2060,0.310711985
PC,resid rural,2060,0.052408411
RJ,resid rural,2060,0.448281696
SK,resid rural,2060,0.507181262
TN,resid rural,2060,0.211443008
TR,resid rural,2060,0.201418375
TS,resid rural,2060,0.23305473
UK,resid rural,2060,0.211643637
UP,resid rural,2060,0.381885968
WB,resid rural,2060,0.220722454
AN,resid rural,2065,0.266496886
AP,resid rural,2065,0.276764709
AR,resid rural,2065,0.372143412
AS,resid rural,2065,0.466147167
BR,resid rural,2065,0.468523611
CG,resid rural,2065,0.331713239
CH,resid rural,2065,0.008265534
DD,resid rural,2065,0.032087938
DL,resid rural,2065,0.00455385
DN,resid rural,2065,0.078805868
GA,resid rural,2065,0.060415108
GJ,resid rural,2065,0.207482597
HP,resid rural,2065,0.44929462
HR,resid rural,2065,0.192898682
JH,resid rural,2065,0.26227149
JK,resid rural,2065,0.293898502
KA,resid rural,2065,0.195113943
KL,resid rural,2065,0.085872705
LA,resid rural,2065,0.305781296
LD,resid rural,2065,0.116556479
MH,resid rural,2065,0.141049929
ML,resid rural,2065,0.441121706
MN,resid rural,2065,0.195664019
MP,resid rural,2065,0.282919211
MZ,resid rural,2065,0.169159012
NL,resid rural,2065,0.236513751
OD,resid rural,2065,0.372435152
PB,resid rural,2065,0.293648376
PC,resid rural,2065,0.050541014
RJ,resid rural,2065,0.430918835
SK,resid rural,2065,0.481959376
TN,resid rural,2065,0.198430103
TR,resid rural,2065,0.188615614
TS,resid rural,2065,0.216546992
UK,resid rural,2065,0.200037705
UP,resid rural,2065,0.359989764
WB,resid rural,2065,0.206449688
AN,resid rural,2070,0.25396862
AP,resid rural,2070,0.258415366
AR,resid rural,2070,0.349309451
AS,resid rural,2070,0.441024534
BR,resid rural,2070,0.440953318
CG,resid rural,2070,0.31444337
CH,resid rural,2070,0.007993785
DD,resid rural,2070,0.030395913
DL,resid rural,2070,0.004405572
DN,resid rural,2070,0.07683109
GA,resid rural,2070,0.057620546
GJ,resid rural,2070,0.195805004
HP,resid rural,2070,0.424285915
HR,resid rural,2070,0.180177476
JH,resid rural,2070,0.241257004
JK,resid rural,2070,0.278690673
KA,resid rural,2070,0.182569607
KL,resid rural,2070,0.077685596
LA,resid rural,2070,0.286355696
LD,resid rural,2070,0.115323607
MH,resid rural,2070,0.133876844
ML,resid rural,2070,0.418530945
MN,resid rural,2070,0.180743315
MP,resid rural,2070,0.272177528
MZ,resid rural,2070,0.161350527
NL,resid rural,2070,0.218676883
OD,resid rural,2070,0.353768726
PB,resid rural,2070,0.276039831
PC,resid rural,2070,0.048590654
RJ,resid rural,2070,0.412952531
SK,resid rural,2070,0.455872182
TN,resid rural,2070,0.185419769
TR,resid rural,2070,0.175462482
TS,resid rural,2070,0.199766221
UK,resid rural,2070,0.188036036
UP,resid rural,2070,0.337536634
WB,resid rural,2070,0.191836577
AN,resid rural,2075,0.241082475
AP,resid rural,2075,0.239361284
AR,resid rural,2075,0.325916858
AS,resid rural,2075,0.415108206
BR,resid rural,2075,0.412492531
CG,resid rural,2075,0.296629065
CH,resid rural,2075,0.007708453
DD,resid rural,2075,0.028575896
DL,resid rural,2075,0.004257129
DN,resid rural,2075,0.074749348
GA,resid rural,2075,0.054734838
GJ,resid rural,2075,0.183562661
HP,resid rural,2075,0.398497663
HR,resid rural,2075,0.167014991
JH,resid rural,2075,0.21982874
JK,resid rural,2075,0.263069925
KA,resid rural,2075,0.169863249
KL,resid rural,2075,0.069425162
LA,resid rural,2075,0.266593563
LD,resid rural,2075,0.114070826
MH,resid rural,2075,0.126660465
ML,resid rural,2075,0.395197014
MN,resid rural,2075,0.16560208
MP,resid rural,2075,0.261129115
MZ,resid rural,2075,0.153442632
NL,resid rural,2075,0.200364472
OD,resid rural,2075,0.334560403
PB,resid rural,2075,0.257855677
PC,resid rural,2075,0.046549923
RJ,resid rural,2075,0.394341333
SK,resid rural,2075,0.428930268
TN,resid rural,2075,0.172400841
TR,resid rural,2075,0.1619252
TS,resid rural,2075,0.182705229
UK,resid rural,2075,0.175582423
UP,resid rural,2075,0.314516602
WB,resid rural,2075,0.176856594
AN,resid rural,2080,0.227797061
AP,resid rural,2080,0.219541606
AR,resid rural,2080,0.301963131
AS,resid rural,2080,0.38840352
BR,resid rural,2080,0.383165391
CG,resid rural,2080,0.278195655
CH,resid rural,2080,0.007408451
DD,resid rural,2080,0.026609785
DL,resid rural,2080,0.004108519
DN,resid rural,2080,0.072546391
GA,resid rural,2080,0.051752465
GJ,resid rural,2080,0.170686201
HP,resid rural,2080,0.371928871
HR,resid rural,2080,0.153355814
JH,resid rural,2080,0.197979472
JK,resid rural,2080,0.246996581
KA,resid rural,2080,0.156990899
KL,resid rural,2080,0.061090746
LA,resid rural,2080,0.246496442
LD,resid rural,2080,0.112797494
MH,resid rural,2080,0.119400439
ML,resid rural,2080,0.371082199
MN,resid rural,2080,0.150234459
MP,resid rural,2080,0.249708039
MZ,resid rural,2080,0.145433209
NL,resid rural,2080,0.181537565
OD,resid rural,2080,0.314764617
PB,resid rural,2080,0.239062571
PC,resid rural,2080,0.044410522
RJ,resid rural,2080,0.375038542
SK,resid rural,2080,0.401148176
TN,resid rural,2080,0.159362037
TR,resid rural,2080,0.147965736
TS,resid rural,2080,0.165356173
UK,resid rural,2080,0.162610966
UP,resid rural,2080,0.290918599
WB,resid rural,2080,0.161480198
AN,resid rural,2085,0.214064748
AP,resid rural,2085,0.198887638
AR,resid rural,2085,0.277445644
AS,resid rural,2085,0.360918041
BR,resid rural,2085,0.353001338
CG,resid rural,2085,0.259053442
CH,resid rural,2085,0.00709257
DD,resid rural,2085,0.02447593
DL,resid rural,2085,0.003959742
DN,resid rural,2085,0.070205432
GA,resid rural,2085,0.048667458
GJ,resid rural,2085,0.15709486
HP,resid rural,2085,0.344579559
HR,resid rural,2085,0.1391358
JH,resid rural,2085,0.175701078
JK,resid rural,2085,0.230425264
KA,resid rural,2085,0.143948324
KL,resid rural,2085,0.052681685
LA,resid rural,2085,0.226065943
LD,resid rural,2085,0.111502942
MH,resid rural,2085,0.112096401
ML,resid rural,2085,0.346142704
MN,resid rural,2085,0.134634135
MP,resid rural,2085,0.237832811
MZ,resid rural,2085,0.137320072
NL,resid rural,2085,0.162152088
OD,resid rural,2085,0.294328268
PB,resid rural,2085,0.219624205
PC,resid rural,2085,0.042163122
RJ,resid rural,2085,0.354991417
SK,resid rural,2085,0.372544494
TN,resid rural,2085,0.146291915
TR,resid rural,2085,0.133541155
TS,resid rural,2085,0.147710495
UK,resid rural,2085,0.149043953
UP,resid rural,2085,0.266730274
WB,resid rural,2085,0.145674446
AN,resid rural,2090,0.199830526
AP,resid rural,2090,0.177321599
AR,resid rural,2090,0.252361539
AS,resid rural,2090,0.332661541
BR,resid rural,2090,0.322035136
CG,resid rural,2090,0.239094232
CH,resid rural,2090,0.006759469
DD,resid rural,2090,0.022148222
DL,resid rural,2090,0.003810798
DN,resid rural,2090,0.067706555
GA,resid rural,2090,0.045473354
GJ,resid rural,2090,0.142694057
HP,resid rural,2090,0.31645066
HR,resid rural,2090,0.124280343
JH,resid rural,2090,0.15298443
JK,resid rural,2090,0.213303952
KA,resid rural,2090,0.130731017
KL,resid rural,2090,0.044197311
LA,resid rural,2090,0.205303718
LD,resid rural,2090,0.11018647
MH,resid rural,2090,0.104747972
ML,resid rural,2090,0.320327565
MN,resid rural,2090,0.118794294
MP,resid rural,2090,0.225401709
MZ,resid rural,2090,0.129100969
NL,resid rural,2090,0.142158095
OD,resid rural,2090,0.273189402
PB,resid rural,2090,0.199500975
PC,resid rural,2090,0.039797206
RJ,resid rural,2090,0.334140216
SK,resid rural,2090,0.343141909
TN,resid rural,2090,0.133178847
TR,resid rural,2090,0.118602851
TS,resid rural,2090,0.129758868
UK,resid rural,2090,0.134789151
UP,resid rural,2090,0.241937792
WB,resid rural,2090,0.129402533
AN,resid rural,2095,0.185030599
AP,resid rural,2095,0.154755122
AR,resid rural,2095,0.226707614
AS,resid rural,2095,0.303645962
BR,resid rural,2095,0.290306832
CG,resid rural,2095,0.218186836
CH,resid rural,2095,0.006407646
DD,resid rural,2095,0.019594879
DL,resid rural,2095,0.003661686
DN,resid rural,2095,0.065025945
GA,resid rural,2095,0.042163141
GJ,resid rural,2095,0.127372322
HP,resid rural,2095,0.287543896
HR,resid rural,2095,0.108702209
JH,resid rural,2095,0.129819276
JK,resid rural,2095,0.195572854
KA,resid rural,2095,0.117334175
KL,resid rural,2095,0.03563695
LA,resid rural,2095,0.184211425
LD,resid rural,2095,0.10884735
MH,resid rural,2095,0.097354758
ML,resid rural,2095,0.293577379
MN,resid rural,2095,0.102707591
MP,resid rural,2095,0.212286267
MZ,resid rural,2095,0.120773578
NL,resid rural,2095,0.121498897
OD,resid rural,2095,0.251275604
PB,resid rural,2095,0.178649608
PC,resid rural,2095,0.037300865
RJ,resid rural,2095,0.312417074
SK,resid rural,2095,0.312967218
TN,resid rural,2095,0.120010977
TR,resid rural,2095,0.103095614
TS,resid rural,2095,0.111491121
UK,resid rural,2095,0.119736308
UP,resid rural,2095,0.216525602
WB,resid rural,2095,0.112623266
AN,resid rural,2100,0.169590643
AP,resid rural,2100,0.131087454
AR,resid rural,2100,0.200480192
AS,resid rural,2100,0.27388535
BR,resid rural,2100,0.257861635
CG,resid rural,2100,0.196171173
CH,resid rural,2100,0.006035426
DD,resid rural,2100,0.016776817
DL,resid rural,2100,0.003512406
DN,resid rural,2100,0.062134891
GA,resid rural,2100,0.038729202
GJ,resid rural,2100,0.110997371
HP,resid rural,2100,0.257861635
HR,resid rural,2100,0.092298799
JH,resid rural,2100,0.10619411
JK,resid rural,2100,0.177163037
KA,resid rural,2100,0.103752683
KL,resid rural,2100,0.026999919
LA,resid rural,2100,0.162790698
LD,resid rural,2100,0.107484821
MH,resid rural,2100,0.089916353
ML,resid rural,2100,0.265822785
MN,resid rural,2100,0.086366105
MP,resid rural,2100,0.198322058
MZ,resid rural,2100,0.112335499
NL,resid rural,2100,0.100110011
OD,resid rural,2100,0.228502041
PB,resid rural,2100,0.157022729
PC,resid rural,2100,0.034660565
RJ,resid rural,2100,0.289744652
SK,resid rural,2100,0.282051282
TN,resid rural,2100,0.106776181
TR,resid rural,2100,0.086956522
TS,resid rural,2100,0.092896175
UK,resid rural,2100,0.103752584
UP,resid rural,2100,0.19047619
WB,resid rural,2100,0.095290442
AN,resid urban,1975,0.63111758
AP,resid urban,1975,0.433232393
AR,resid urban,1975,0.402014929
AS,resid urban,1975,0.265315388
BR,resid urban,1975,0.208549789
CG,resid urban,1975,0.506042693
CH,resid urban,1975,0.990849057
DD,resid urban,1975,0.92313275
DL,resid urban,1975,0.987454179
DN,resid urban,1975,0.76663249
GA,resid urban,1975,0.73702016
GJ,resid urban,1975,0.59659328
HP,resid urban,1975,0.203079186
HR,resid urban,1975,0.628123364
JH,resid urban,1975,0.424462986
JK,resid urban,1975,0.51913355
KA,resid urban,1975,0.585076224
KL,resid urban,1975,0.477190977
LA,resid urban,1975,0.533560205
LD,resid urban,1975,0.832550297
MH,resid urban,1975,0.634598357
ML,resid urban,1975,0.406257063
MN,resid urban,1975,0.496856338
MP,resid urban,1975,0.613572857
MZ,resid urban,1975,0.564650534
NL,resid urban,1975,0.525939268
OD,resid urban,1975,0.368283756
PB,resid urban,1975,0.460705216
PC,resid urban,1975,0.871387359
RJ,resid urban,1975,0.395935293
SK,resid urban,1975,0.412630201
TN,resid urban,1975,0.575263716
TR,resid urban,1975,0.503659242
TS,resid urban,1975,0.595767814
UK,resid urban,1975,0.601002375
UP,resid urban,1975,0.406501739
WB,resid urban,1975,0.556610711
AN,resid urban,1990,0.63111758
AP,resid urban,1990,0.433232393
AR,resid urban,1990,0.402014929
AS,resid urban,1990,0.265315388
BR,resid urban,1990,0.208549789
CG,resid urban,1990,0.506042693
CH,resid urban,1990,0.990849057
DD,resid urban,1990,0.92313275
DL,resid urban,1990,0.987454179
DN,resid urban,1990,0.76663249
GA,resid urban,1990,0.73702016
GJ,resid urban,1990,0.59659328
HP,resid urban,1990,0.203079186
HR,resid urban,1990,0.628123364
JH,resid urban,1990,0.424462986
JK,resid urban,1990,0.51913355
KA,resid urban,1990,0.585076224
KL,resid urban,1990,0.477190977
LA,resid urban,1990,0.533560205
LD,resid urban,1990,0.832550297
MH,resid urban,1990,0.634598357
ML,resid urban,1990,0.406257063
MN,resid urban,1990,0.496856338
MP,resid urban,1990,0.613572857
MZ,resid urban,1990,0.564650534
NL,resid urban,1990,0.525939268
OD,resid urban,1990,0.368283756
PB,resid urban,1990,0.460705216
PC,resid urban,1990,0.871387359
RJ,resid urban,1990,0.395935293
SK,resid urban,1990,0.412630201
TN,resid urban,1990,0.575263716
TR,resid urban,1990,0.503659242
TS,resid urban,1990,0.595767814
UK,resid urban,1990,0.601002375
UP,resid urban,1990,0.406501739
WB,resid urban,1990,0.556610711
AN,resid urban,2005,0.63111758
AP,resid urban,2005,0.433232393
AR,resid urban,2005,0.402014929
AS,resid urban,2005,0.265315388
BR,resid urban,2005,0.208549789
CG,resid urban,2005,0.506042693
CH,resid urban,2005,0.990849057
DD,resid urban,2005,0.92313275
DL,resid urban,2005,0.987454179
DN,resid urban,2005,0.76663249
GA,resid urban,2005,0.73702016
GJ,resid urban,2005,0.59659328
HP,resid urban,2005,0.203079186
HR,resid urban,2005,0.628123364
JH,resid urban,2005,0.424462986
JK,resid urban,2005,0.51913355
KA,resid urban,2005,0.585076224
KL,resid urban,2005,0.477190977
LA,resid urban,2005,0.533560205
LD,resid urban,2005,0.832550297
MH,resid urban,2005,0.634598357
ML,resid urban,2005,0.406257063
MN,resid urban,2005,0.496856338
MP,resid urban,2005,0.613572857
MZ,resid urban,2005,0.564650534
NL,resid urban,2005,0.525939268
OD,resid urban,2005,0.368283756
PB,resid urban,2005,0.460705216
PC,resid urban,2005,0.871387359
RJ,resid urban,2005,0.395935293
SK,resid urban,2005,0.412630201
TN,resid urban,2005,0.575263716
TR,resid urban,2005,0.503659242
TS,resid urban,2005,0.595767814
UK,resid urban,2005,0.601002375
UP,resid urban,2005,0.406501739
WB,resid urban,2005,0.556610711
AN,resid urban,2010,0.63111758
AP,resid urban,2010,0.433232393
AR,resid urban,2010,0.402014929
AS,resid urban,2010,0.265315388
BR,resid urban,2010,0.208549789
CG,resid urban,2010,0.506042693
CH,resid urban,2010,0.990849057
DD,resid urban,2010,0.92313275
DL,resid urban,2010,0.987454179
DN,resid urban,2010,0.76663249
GA,resid urban,2010,0.73702016
GJ,resid urban,2010,0.59659328
HP,resid urban,2010,0.203079186
HR,resid urban,2010,0.628123364
JH,resid urban,2010,0.424462986
JK,resid urban,2010,0.51913355
KA,resid urban,2010,0.585076224
KL,resid urban,2010,0.477190977
LA,resid urban,2010,0.533560205
LD,resid urban,2010,0.832550297
MH,resid urban,2010,0.634598357
ML,resid urban,2010,0.406257063
MN,resid urban,2010,0.496856338
MP,resid urban,2010,0.613572857
MZ,resid urban,2010,0.564650534
NL,resid urban,2010,0.525939268
OD,resid urban,2010,0.368283756
PB,resid urban,2010,0.460705216
PC,resid urban,2010,0.871387359
RJ,resid urban,2010,0.395935293
SK,resid urban,2010,0.412630201
