INPUT_TABLE,,
Variable ID,,
CarbonCoef,,
,,
region,PrimaryFuelCO2Coef.name,PrimaryFuelCO2Coef
USA,biomass,0.00
USA,regional biomass,23.00
USA,delivered biomass,23.00
USA,regional biomassOil,19.10
USA,regional sugar for ethanol,19.10
USA,regional corn for ethanol,19.10
USA,coal,26.31
USA,regional coal,26.31
USA,delivered coal,26.31
USA,natural gas,15.30
USA,regional natural gas,15.30
USA,gas processing,15.30
USA,gas pipeline,15.30
USA,wholesale gas,15.30
USA,delivered gas,15.30
USA,crude oil,19.10
USA,unconventional oil,21.10
USA,unconventional oil production,19.10
USA,traded unconventional oil,19.10
USA,regional oil,19.10
USA,refining,19.10
USA,refined liquids industrial,19.10
USA,refined liquids enduse,19.10
USA,limestone,0.08
Africa_Eastern,biomass,0.00
Africa_Eastern,regional biomass,23.00
Africa_Eastern,delivered biomass,23.00
Africa_Eastern,regional biomassOil,19.10
Africa_Eastern,regional sugar for ethanol,19.10
Africa_Eastern,regional corn for ethanol,19.10
Africa_Eastern,coal,26.31
Africa_Eastern,regional coal,26.31
Africa_Eastern,delivered coal,26.31
Africa_Eastern,natural gas,15.30
Africa_Eastern,regional natural gas,15.30
Africa_Eastern,gas processing,15.30
Africa_Eastern,gas pipeline,15.30
Africa_Eastern,wholesale gas,15.30
Africa_Eastern,delivered gas,15.30
Africa_Eastern,crude oil,19.10
Africa_Eastern,unconventional oil,21.10
Africa_Eastern,unconventional oil production,19.10
USA,traded unconventional oil,19.10
Africa_Eastern,regional oil,19.10
Africa_Eastern,refining,19.10
Africa_Eastern,refined liquids industrial,19.10
Africa_Eastern,refined liquids enduse,19.10
Africa_Eastern,limestone,0.08
Africa_Northern,biomass,0.00
Africa_Northern,regional biomass,23.00
Africa_Northern,delivered biomass,23.00
Africa_Northern,regional biomassOil,19.10
Africa_Northern,regional sugar for ethanol,19.10
Africa_Northern,regional corn for ethanol,19.10
Africa_Northern,coal,26.31
Africa_Northern,regional coal,26.31
Africa_Northern,delivered coal,26.31
Africa_Northern,natural gas,15.30
Africa_Northern,regional natural gas,15.30
Africa_Northern,gas processing,15.30
Africa_Northern,gas pipeline,15.30
Africa_Northern,wholesale gas,15.30
Africa_Northern,delivered gas,15.30
Africa_Northern,crude oil,19.10
Africa_Northern,unconventional oil,21.10
Africa_Northern,unconventional oil production,19.10
USA,traded unconventional oil,19.10
Africa_Northern,regional oil,19.10
Africa_Northern,refining,19.10
Africa_Northern,refined liquids industrial,19.10
Africa_Northern,refined liquids enduse,19.10
Africa_Northern,limestone,0.08
Africa_Southern,biomass,0.00
Africa_Southern,regional biomass,23.00
Africa_Southern,delivered biomass,23.00
Africa_Southern,regional biomassOil,19.10
Africa_Southern,regional sugar for ethanol,19.10
Africa_Southern,regional corn for ethanol,19.10
Africa_Southern,coal,26.31
Africa_Southern,regional coal,26.31
Africa_Southern,delivered coal,26.31
Africa_Southern,natural gas,15.30
Africa_Southern,regional natural gas,15.30
Africa_Southern,gas processing,15.30
Africa_Southern,gas pipeline,15.30
Africa_Southern,wholesale gas,15.30
Africa_Southern,delivered gas,15.30
Africa_Southern,crude oil,19.10
Africa_Southern,unconventional oil,21.10
Africa_Southern,unconventional oil production,19.10
USA,traded unconventional oil,19.10
Africa_Southern,regional oil,19.10
Africa_Southern,refining,19.10
Africa_Southern,refined liquids industrial,19.10
Africa_Southern,refined liquids enduse,19.10
Africa_Southern,limestone,0.08
Africa_Western,biomass,0.00
Africa_Western,regional biomass,23.00
Africa_Western,delivered biomass,23.00
Africa_Western,regional biomassOil,19.10
Africa_Western,regional sugar for ethanol,19.10
Africa_Western,regional corn for ethanol,19.10
Africa_Western,coal,26.31
Africa_Western,regional coal,26.31
Africa_Western,delivered coal,26.31
Africa_Western,natural gas,15.30
Africa_Western,regional natural gas,15.30
Africa_Western,gas processing,15.30
Africa_Western,gas pipeline,15.30
Africa_Western,wholesale gas,15.30
Africa_Western,delivered gas,15.30
Africa_Western,crude oil,19.10
Africa_Western,unconventional oil,21.10
Africa_Western,unconventional oil production,19.10
USA,traded unconventional oil,19.10
Africa_Western,regional oil,19.10
Africa_Western,refining,19.10
Africa_Western,refined liquids industrial,19.10
Africa_Western,refined liquids enduse,19.10
Africa_Western,limestone,0.08
Australia_NZ,biomass,0.00
Australia_NZ,regional biomass,23.00
Australia_NZ,delivered biomass,23.00
Australia_NZ,regional biomassOil,19.10
Australia_NZ,regional sugar for ethanol,19.10
Australia_NZ,regional corn for ethanol,19.10
Australia_NZ,coal,26.31
Australia_NZ,regional coal,26.31
Australia_NZ,delivered coal,26.31
Australia_NZ,natural gas,15.30
Australia_NZ,regional natural gas,15.30
Australia_NZ,gas processing,15.30
Australia_NZ,gas pipeline,15.30
Australia_NZ,wholesale gas,15.30
Australia_NZ,delivered gas,15.30
Australia_NZ,crude oil,19.10
Australia_NZ,unconventional oil,21.10
Australia_NZ,unconventional oil production,19.10
USA,traded unconventional oil,19.10
Australia_NZ,regional oil,19.10
Australia_NZ,refining,19.10
Australia_NZ,refined liquids industrial,19.10
Australia_NZ,refined liquids enduse,19.10
Australia_NZ,limestone,0.08
Brazil,biomass,0.00
Brazil,regional biomass,23.00
Brazil,delivered biomass,23.00
Brazil,regional biomassOil,19.10
Brazil,regional sugar for ethanol,19.10
Brazil,regional corn for ethanol,19.10
Brazil,coal,26.31
Brazil,regional coal,26.31
Brazil,delivered coal,26.31
Brazil,natural gas,15.30
Brazil,regional natural gas,15.30
Brazil,gas processing,15.30
Brazil,gas pipeline,15.30
Brazil,wholesale gas,15.30
Brazil,delivered gas,15.30
Brazil,crude oil,19.10
Brazil,unconventional oil,21.10
Brazil,unconventional oil production,19.10
USA,traded unconventional oil,19.10
Brazil,regional oil,19.10
Brazil,refining,19.10
Brazil,refined liquids industrial,19.10
Brazil,refined liquids enduse,19.10
Brazil,limestone,0.08
Canada,biomass,0.00
Canada,regional biomass,23.00
Canada,delivered biomass,23.00
Canada,regional biomassOil,19.10
Canada,regional sugar for ethanol,19.10
Canada,regional corn for ethanol,19.10
Canada,coal,26.31
Canada,regional coal,26.31
Canada,delivered coal,26.31
Canada,natural gas,15.30
Canada,regional natural gas,15.30
Canada,gas processing,15.30
Canada,gas pipeline,15.30
Canada,wholesale gas,15.30
Canada,delivered gas,15.30
Canada,crude oil,19.10
Canada,unconventional oil,21.10
Canada,unconventional oil production,19.10
USA,traded unconventional oil,19.10
Canada,regional oil,19.10
Canada,refining,19.10
Canada,refined liquids industrial,19.10
Canada,refined liquids enduse,19.10
Canada,limestone,0.08
Central America and Caribbean,biomass,0.00
Central America and Caribbean,regional biomass,23.00
Central America and Caribbean,delivered biomass,23.00
Central America and Caribbean,regional biomassOil,19.10
Central America and Caribbean,regional sugar for ethanol,19.10
Central America and Caribbean,regional corn for ethanol,19.10
Central America and Caribbean,coal,26.31
Central America and Caribbean,regional coal,26.31
Central America and Caribbean,delivered coal,26.31
Central America and Caribbean,natural gas,15.30
Central America and Caribbean,regional natural gas,15.30
Central America and Caribbean,gas processing,15.30
Central America and Caribbean,gas pipeline,15.30
Central America and Caribbean,wholesale gas,15.30
Central America and Caribbean,delivered gas,15.30
Central America and Caribbean,crude oil,19.10
Central America and Caribbean,unconventional oil,21.10
Central America and Caribbean,unconventional oil production,19.10
USA,traded unconventional oil,19.10
Central America and Caribbean,regional oil,19.10
Central America and Caribbean,refining,19.10
Central America and Caribbean,refined liquids industrial,19.10
Central America and Caribbean,refined liquids enduse,19.10
Central America and Caribbean,limestone,0.08
Central Asia,biomass,0.00
Central Asia,regional biomass,23.00
Central Asia,delivered biomass,23.00
Central Asia,regional biomassOil,19.10
Central Asia,regional sugar for ethanol,19.10
Central Asia,regional corn for ethanol,19.10
Central Asia,coal,26.31
Central Asia,regional coal,26.31
Central Asia,delivered coal,26.31
Central Asia,natural gas,15.30
Central Asia,regional natural gas,15.30
Central Asia,gas processing,15.30
Central Asia,gas pipeline,15.30
Central Asia,wholesale gas,15.30
Central Asia,delivered gas,15.30
Central Asia,crude oil,19.10
Central Asia,unconventional oil,21.10
Central Asia,unconventional oil production,19.10
USA,traded unconventional oil,19.10
Central Asia,regional oil,19.10
Central Asia,refining,19.10
Central Asia,refined liquids industrial,19.10
Central Asia,refined liquids enduse,19.10
Central Asia,limestone,0.08
China,biomass,0.00
China,regional biomass,23.00
China,delivered biomass,23.00
China,regional biomassOil,19.10
China,regional sugar for ethanol,19.10
China,regional corn for ethanol,19.10
China,coal,26.31
China,regional coal,26.31
China,delivered coal,26.31
China,natural gas,15.30
China,regional natural gas,15.30
China,gas processing,15.30
China,gas pipeline,15.30
China,wholesale gas,15.30
China,delivered gas,15.30
China,crude oil,19.10
China,unconventional oil,21.10
China,unconventional oil production,19.10
USA,traded unconventional oil,19.10
China,regional oil,19.10
China,refining,19.10
China,refined liquids industrial,19.10
China,refined liquids enduse,19.10
China,limestone,0.08
EU-12,biomass,0.00
EU-12,regional biomass,23.00
EU-12,delivered biomass,23.00
EU-12,regional biomassOil,19.10
EU-12,regional sugar for ethanol,19.10
EU-12,regional corn for ethanol,19.10
EU-12,coal,26.31
EU-12,regional coal,26.31
EU-12,delivered coal,26.31
EU-12,natural gas,15.30
EU-12,regional natural gas,15.30
EU-12,gas processing,15.30
EU-12,gas pipeline,15.30
EU-12,wholesale gas,15.30
EU-12,delivered gas,15.30
EU-12,crude oil,19.10
EU-12,unconventional oil,21.10
EU-12,unconventional oil production,19.10
USA,traded unconventional oil,19.10
EU-12,regional oil,19.10
EU-12,refining,19.10
EU-12,refined liquids industrial,19.10
EU-12,refined liquids enduse,19.10
EU-12,limestone,0.08
EU-15,biomass,0.00
EU-15,regional biomass,23.00
EU-15,delivered biomass,23.00
EU-15,regional biomassOil,19.10
EU-15,regional sugar for ethanol,19.10
EU-15,regional corn for ethanol,19.10
EU-15,coal,26.31
EU-15,regional coal,26.31
EU-15,delivered coal,26.31
EU-15,natural gas,15.30
EU-15,regional natural gas,15.30
EU-15,gas processing,15.30
EU-15,gas pipeline,15.30
EU-15,wholesale gas,15.30
EU-15,delivered gas,15.30
EU-15,crude oil,19.10
EU-15,unconventional oil,21.10
EU-15,unconventional oil production,19.10
USA,traded unconventional oil,19.10
EU-15,regional oil,19.10
EU-15,refining,19.10
EU-15,refined liquids industrial,19.10
EU-15,refined liquids enduse,19.10
EU-15,limestone,0.08
Europe_Eastern,biomass,0.00
Europe_Eastern,regional biomass,23.00
Europe_Eastern,delivered biomass,23.00
Europe_Eastern,regional biomassOil,19.10
Europe_Eastern,regional sugar for ethanol,19.10
Europe_Eastern,regional corn for ethanol,19.10
Europe_Eastern,coal,26.31
Europe_Eastern,regional coal,26.31
Europe_Eastern,delivered coal,26.31
Europe_Eastern,natural gas,15.30
Europe_Eastern,regional natural gas,15.30
Europe_Eastern,gas processing,15.30
Europe_Eastern,gas pipeline,15.30
Europe_Eastern,wholesale gas,15.30
Europe_Eastern,delivered gas,15.30
Europe_Eastern,crude oil,19.10
Europe_Eastern,unconventional oil,21.10
Europe_Eastern,unconventional oil production,19.10
USA,traded unconventional oil,19.10
Europe_Eastern,regional oil,19.10
Europe_Eastern,refining,19.10
Europe_Eastern,refined liquids industrial,19.10
Europe_Eastern,refined liquids enduse,19.10
Europe_Eastern,limestone,0.08
Europe_Non_EU,biomass,0.00
Europe_Non_EU,regional biomass,23.00
Europe_Non_EU,delivered biomass,23.00
Europe_Non_EU,regional biomassOil,19.10
Europe_Non_EU,regional sugar for ethanol,19.10
Europe_Non_EU,regional corn for ethanol,19.10
Europe_Non_EU,coal,26.31
Europe_Non_EU,regional coal,26.31
Europe_Non_EU,delivered coal,26.31
Europe_Non_EU,natural gas,15.30
Europe_Non_EU,regional natural gas,15.30
Europe_Non_EU,gas processing,15.30
Europe_Non_EU,gas pipeline,15.30
Europe_Non_EU,wholesale gas,15.30
Europe_Non_EU,delivered gas,15.30
Europe_Non_EU,crude oil,19.10
Europe_Non_EU,unconventional oil,21.10
Europe_Non_EU,unconventional oil production,19.10
USA,traded unconventional oil,19.10
Europe_Non_EU,regional oil,19.10
Europe_Non_EU,refining,19.10
Europe_Non_EU,refined liquids industrial,19.10
Europe_Non_EU,refined liquids enduse,19.10
Europe_Non_EU,limestone,0.08
European Free Trade Association,biomass,0.00
European Free Trade Association,regional biomass,23.00
European Free Trade Association,delivered biomass,23.00
European Free Trade Association,regional biomassOil,19.10
European Free Trade Association,regional sugar for ethanol,19.10
European Free Trade Association,regional corn for ethanol,19.10
European Free Trade Association,coal,26.31
European Free Trade Association,regional coal,26.31
European Free Trade Association,delivered coal,26.31
European Free Trade Association,natural gas,15.30
European Free Trade Association,regional natural gas,15.30
European Free Trade Association,gas processing,15.30
European Free Trade Association,gas pipeline,15.30
European Free Trade Association,wholesale gas,15.30
European Free Trade Association,delivered gas,15.30
European Free Trade Association,crude oil,19.10
European Free Trade Association,unconventional oil,21.10
European Free Trade Association,unconventional oil production,19.10
USA,traded unconventional oil,19.10
European Free Trade Association,regional oil,19.10
European Free Trade Association,refining,19.10
European Free Trade Association,refined liquids industrial,19.10
European Free Trade Association,refined liquids enduse,19.10
European Free Trade Association,limestone,0.08
India,biomass,0.00
India,regional biomass,23.00
India,delivered biomass,23.00
India,regional biomassOil,19.10
India,regional sugar for ethanol,19.10
India,regional corn for ethanol,19.10
India,coal,26.31
India,regional coal,26.31
India,delivered coal,26.31
India,natural gas,15.30
India,regional natural gas,15.30
India,gas processing,15.30
India,gas pipeline,15.30
India,wholesale gas,15.30
India,delivered gas,15.30
India,crude oil,19.10
India,unconventional oil,21.10
India,unconventional oil production,19.10
USA,traded unconventional oil,19.10
India,regional oil,19.10
India,refining,19.10
India,refined liquids industrial,19.10
India,refined liquids enduse,19.10
India,limestone,0.08
Indonesia,biomass,0.00
Indonesia,regional biomass,23.00
Indonesia,delivered biomass,23.00
Indonesia,regional biomassOil,19.10
Indonesia,regional sugar for ethanol,19.10
Indonesia,regional corn for ethanol,19.10
Indonesia,coal,26.31
Indonesia,regional coal,26.31
Indonesia,delivered coal,26.31
Indonesia,natural gas,15.30
Indonesia,regional natural gas,15.30
Indonesia,gas processing,15.30
Indonesia,gas pipeline,15.30
Indonesia,wholesale gas,15.30
Indonesia,delivered gas,15.30
Indonesia,crude oil,19.10
Indonesia,unconventional oil,21.10
Indonesia,unconventional oil production,19.10
USA,traded unconventional oil,19.10
Indonesia,regional oil,19.10
Indonesia,refining,19.10
Indonesia,refined liquids industrial,19.10
Indonesia,refined liquids enduse,19.10
Indonesia,limestone,0.08
Japan,biomass,0.00
Japan,regional biomass,23.00
Japan,delivered biomass,23.00
Japan,regional biomassOil,19.10
Japan,regional sugar for ethanol,19.10
Japan,regional corn for ethanol,19.10
Japan,coal,26.31
Japan,regional coal,26.31
Japan,delivered coal,26.31
Japan,natural gas,15.30
Japan,regional natural gas,15.30
Japan,gas processing,15.30
Japan,gas pipeline,15.30
Japan,wholesale gas,15.30
Japan,delivered gas,15.30
Japan,crude oil,19.10
Japan,unconventional oil,21.10
Japan,unconventional oil production,19.10
USA,traded unconventional oil,19.10
Japan,regional oil,19.10
Japan,refining,19.10
Japan,refined liquids industrial,19.10
Japan,refined liquids enduse,19.10
Japan,limestone,0.08
Mexico,biomass,0.00
Mexico,regional biomass,23.00
Mexico,delivered biomass,23.00
Mexico,regional biomassOil,19.10
Mexico,regional sugar for ethanol,19.10
Mexico,regional corn for ethanol,19.10
Mexico,coal,26.31
Mexico,regional coal,26.31
Mexico,delivered coal,26.31
Mexico,natural gas,15.30
Mexico,regional natural gas,15.30
Mexico,gas processing,15.30
Mexico,gas pipeline,15.30
Mexico,wholesale gas,15.30
Mexico,delivered gas,15.30
Mexico,crude oil,19.10
Mexico,unconventional oil,21.10
Mexico,unconventional oil production,19.10
USA,traded unconventional oil,19.10
Mexico,regional oil,19.10
Mexico,refining,19.10
Mexico,refined liquids industrial,19.10
Mexico,refined liquids enduse,19.10
Mexico,limestone,0.08
Middle East,biomass,0.00
Middle East,regional biomass,23.00
Middle East,delivered biomass,23.00
Middle East,regional biomassOil,19.10
Middle East,regional sugar for ethanol,19.10
Middle East,regional corn for ethanol,19.10
Middle East,coal,26.31
Middle East,regional coal,26.31
Middle East,delivered coal,26.31
Middle East,natural gas,15.30
Middle East,regional natural gas,15.30
Middle East,gas processing,15.30
Middle East,gas pipeline,15.30
Middle East,wholesale gas,15.30
Middle East,delivered gas,15.30
Middle East,crude oil,19.10
Middle East,unconventional oil,21.10
Middle East,unconventional oil production,19.10
USA,traded unconventional oil,19.10
Middle East,regional oil,19.10
Middle East,refining,19.10
Middle East,refined liquids industrial,19.10
Middle East,refined liquids enduse,19.10
Middle East,limestone,0.08
Pakistan,biomass,0.00
Pakistan,regional biomass,23.00
Pakistan,delivered biomass,23.00
Pakistan,regional biomassOil,19.10
Pakistan,regional sugar for ethanol,19.10
Pakistan,regional corn for ethanol,19.10
Pakistan,coal,26.31
Pakistan,regional coal,26.31
Pakistan,delivered coal,26.31
Pakistan,natural gas,15.30
Pakistan,regional natural gas,15.30
Pakistan,gas processing,15.30
Pakistan,gas pipeline,15.30
Pakistan,wholesale gas,15.30
Pakistan,delivered gas,15.30
Pakistan,crude oil,19.10
Pakistan,unconventional oil,21.10
Pakistan,unconventional oil production,19.10
USA,traded unconventional oil,19.10
Pakistan,regional oil,19.10
Pakistan,refining,19.10
Pakistan,refined liquids industrial,19.10
Pakistan,refined liquids enduse,19.10
Pakistan,limestone,0.08
Russia,biomass,0.00
Russia,regional biomass,23.00
Russia,delivered biomass,23.00
Russia,regional biomassOil,19.10
Russia,regional sugar for ethanol,19.10
Russia,regional corn for ethanol,19.10
Russia,coal,26.31
Russia,regional coal,26.31
Russia,delivered coal,26.31
Russia,natural gas,15.30
Russia,regional natural gas,15.30
Russia,gas processing,15.30
Russia,gas pipeline,15.30
Russia,wholesale gas,15.30
Russia,delivered gas,15.30
Russia,crude oil,19.10
Russia,unconventional oil,21.10
Russia,unconventional oil production,19.10
USA,traded unconventional oil,19.10
Russia,regional oil,19.10
Russia,refining,19.10
Russia,refined liquids industrial,19.10
Russia,refined liquids enduse,19.10
Russia,limestone,0.08
South Africa,biomass,0.00
South Africa,regional biomass,23.00
South Africa,delivered biomass,23.00
South Africa,regional biomassOil,19.10
South Africa,regional sugar for ethanol,19.10
South Africa,regional corn for ethanol,19.10
South Africa,coal,26.31
South Africa,regional coal,26.31
South Africa,delivered coal,26.31
South Africa,natural gas,15.30
South Africa,regional natural gas,15.30
South Africa,gas processing,15.30
South Africa,gas pipeline,15.30
South Africa,wholesale gas,15.30
South Africa,delivered gas,15.30
South Africa,crude oil,19.10
South Africa,unconventional oil,21.10
South Africa,unconventional oil production,19.10
USA,traded unconventional oil,19.10
South Africa,regional oil,19.10
South Africa,refining,19.10
South Africa,refined liquids industrial,19.10
South Africa,refined liquids enduse,19.10
South Africa,limestone,0.08
South America_Northern,biomass,0.00
South America_Northern,regional biomass,23.00
South America_Northern,delivered biomass,23.00
South America_Northern,regional biomassOil,19.10
South America_Northern,regional sugar for ethanol,19.10
South America_Northern,regional corn for ethanol,19.10
South America_Northern,coal,26.31
South America_Northern,regional coal,26.31
South America_Northern,delivered coal,26.31
South America_Northern,natural gas,15.30
South America_Northern,regional natural gas,15.30
South America_Northern,gas processing,15.30
South America_Northern,gas pipeline,15.30
South America_Northern,wholesale gas,15.30
South America_Northern,delivered gas,15.30
South America_Northern,crude oil,19.10
South America_Northern,unconventional oil,21.10
South America_Northern,unconventional oil production,19.10
USA,traded unconventional oil,19.10
South America_Northern,regional oil,19.10
South America_Northern,refining,19.10
South America_Northern,refined liquids industrial,19.10
South America_Northern,refined liquids enduse,19.10
South America_Northern,limestone,0.08
South America_Southern,biomass,0.00
South America_Southern,regional biomass,23.00
South America_Southern,delivered biomass,23.00
South America_Southern,regional biomassOil,19.10
South America_Southern,regional sugar for ethanol,19.10
South America_Southern,regional corn for ethanol,19.10
South America_Southern,coal,26.31
South America_Southern,regional coal,26.31
South America_Southern,delivered coal,26.31
South America_Southern,natural gas,15.30
South America_Southern,regional natural gas,15.30
South America_Southern,gas processing,15.30
South America_Southern,gas pipeline,15.30
South America_Southern,wholesale gas,15.30
South America_Southern,delivered gas,15.30
South America_Southern,crude oil,19.10
South America_Southern,unconventional oil,21.10
South America_Southern,unconventional oil production,19.10
USA,traded unconventional oil,19.10
South America_Southern,regional oil,19.10
South America_Southern,refining,19.10
South America_Southern,refined liquids industrial,19.10
South America_Southern,refined liquids enduse,19.10
South America_Southern,limestone,0.08
South Asia,biomass,0.00
South Asia,regional biomass,23.00
South Asia,delivered biomass,23.00
South Asia,regional biomassOil,19.10
South Asia,regional sugar for ethanol,19.10
South Asia,regional corn for ethanol,19.10
South Asia,coal,26.31
South Asia,regional coal,26.31
South Asia,delivered coal,26.31
South Asia,natural gas,15.30
South Asia,regional natural gas,15.30
South Asia,gas processing,15.30
South Asia,gas pipeline,15.30
South Asia,wholesale gas,15.30
South Asia,delivered gas,15.30
South Asia,crude oil,19.10
South Asia,unconventional oil,21.10
South Asia,unconventional oil production,19.10
USA,traded unconventional oil,19.10
South Asia,regional oil,19.10
South Asia,refining,19.10
South Asia,refined liquids industrial,19.10
South Asia,refined liquids enduse,19.10
South Asia,limestone,0.08
South Korea,biomass,0.00
South Korea,regional biomass,23.00
South Korea,delivered biomass,23.00
South Korea,regional biomassOil,19.10
South Korea,regional sugar for ethanol,19.10
South Korea,regional corn for ethanol,19.10
South Korea,coal,26.31
South Korea,regional coal,26.31
South Korea,delivered coal,26.31
South Korea,natural gas,15.30
South Korea,regional natural gas,15.30
South Korea,gas processing,15.30
South Korea,gas pipeline,15.30
South Korea,wholesale gas,15.30
South Korea,delivered gas,15.30
South Korea,crude oil,19.10
South Korea,unconventional oil,21.10
South Korea,unconventional oil production,19.10
USA,traded unconventional oil,19.10
South Korea,regional oil,19.10
South Korea,refining,19.10
South Korea,refined liquids industrial,19.10
South Korea,refined liquids enduse,19.10
South Korea,limestone,0.08
Southeast Asia,biomass,0.00
Southeast Asia,regional biomass,23.00
Southeast Asia,delivered biomass,23.00
Southeast Asia,regional biomassOil,19.10
Southeast Asia,regional sugar for ethanol,19.10
Southeast Asia,regional corn for ethanol,19.10
Southeast Asia,coal,26.31
Southeast Asia,regional coal,26.31
Southeast Asia,delivered coal,26.31
Southeast Asia,natural gas,15.30
Southeast Asia,regional natural gas,15.30
Southeast Asia,gas processing,15.30
Southeast Asia,gas pipeline,15.30
Southeast Asia,wholesale gas,15.30
Southeast Asia,delivered gas,15.30
Southeast Asia,crude oil,19.10
Southeast Asia,unconventional oil,21.10
Southeast Asia,unconventional oil production,19.10
USA,traded unconventional oil,19.10
Southeast Asia,regional oil,19.10
Southeast Asia,refining,19.10
Southeast Asia,refined liquids industrial,19.10
Southeast Asia,refined liquids enduse,19.10
Southeast Asia,limestone,0.08
Taiwan,biomass,0.00
Taiwan,regional biomass,23.00
Taiwan,delivered biomass,23.00
Taiwan,regional biomassOil,19.10
Taiwan,regional sugar for ethanol,19.10
Taiwan,regional corn for ethanol,19.10
Taiwan,coal,26.31
Taiwan,regional coal,26.31
Taiwan,delivered coal,26.31
Taiwan,natural gas,15.30
Taiwan,regional natural gas,15.30
Taiwan,gas processing,15.30
Taiwan,gas pipeline,15.30
Taiwan,wholesale gas,15.30
Taiwan,delivered gas,15.30
Taiwan,crude oil,19.10
Taiwan,unconventional oil,21.10
Taiwan,unconventional oil production,19.10
USA,traded unconventional oil,19.10
Taiwan,regional oil,19.10
Taiwan,refining,19.10
Taiwan,refined liquids industrial,19.10
Taiwan,refined liquids enduse,19.10
Taiwan,limestone,0.08
Argentina,biomass,0.00
Argentina,regional biomass,23.00
Argentina,delivered biomass,23.00
Argentina,regional biomassOil,19.10
Argentina,regional sugar for ethanol,19.10
Argentina,regional corn for ethanol,19.10
Argentina,coal,26.31
Argentina,regional coal,26.31
Argentina,delivered coal,26.31
Argentina,natural gas,15.30
Argentina,regional natural gas,15.30
Argentina,gas processing,15.30
Argentina,gas pipeline,15.30
Argentina,wholesale gas,15.30
Argentina,delivered gas,15.30
Argentina,crude oil,19.10
Argentina,unconventional oil,21.10
Argentina,unconventional oil production,19.10
USA,traded unconventional oil,19.10
Argentina,regional oil,19.10
Argentina,refining,19.10
Argentina,refined liquids industrial,19.10
Argentina,refined liquids enduse,19.10
Argentina,limestone,0.08
Colombia,biomass,0.00
Colombia,regional biomass,23.00
Colombia,delivered biomass,23.00
Colombia,regional biomassOil,19.10
Colombia,regional sugar for ethanol,19.10
Colombia,regional corn for ethanol,19.10
Colombia,coal,26.31
Colombia,regional coal,26.31
Colombia,delivered coal,26.31
Colombia,natural gas,15.30
Colombia,regional natural gas,15.30
Colombia,gas processing,15.30
Colombia,gas pipeline,15.30
Colombia,wholesale gas,15.30
Colombia,delivered gas,15.30
Colombia,crude oil,19.10
Colombia,unconventional oil,21.10
Colombia,unconventional oil production,19.10
USA,traded unconventional oil,19.10
Colombia,regional oil,19.10
Colombia,refining,19.10
Colombia,refined liquids industrial,19.10
Colombia,refined liquids enduse,19.10
Colombia,limestone,0.08
